,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1311,Ich bin ART Berliner,Painting,Jan 25 2013,Feb 15 2013,21,"Berlin, Germany",$,5059,4000,56
1312,The Secret Alley's Gallery...The Galallery!,Mixed Media,Apr 11 2013,May 9 2013,28,"San Francisco, CA",$,6420,6006,81
1313,Hip Hop Dance - Teaching Social Justice,Performance Art,Apr 17 2013,May 17 2013,30,"Philadelphia, PA",$,10390,10000,76
1314,Brownsville Archaeology Festival,Public Art,Mar 22 2013,Apr 21 2013,30,"Brownsville, PA",$,1715,1500,45
1315,IGNITE: An Essential Kiln Yard,Art,Jun 26 2013,Jul 26 2013,30,"Seattle, WA",$,21664,18000,194
1316,First International Art Show in Japan,Painting,Mar 29 2013,Apr 19 2013,21,"Tokyo, Japan",$,4440,3500,23
1317,Community Roots: 85th and Knapp Intersection Beautification,Art,May 9 2013,Jun 15 2013,37,"Portland, OR",$,745,450,23
1318,Conscriptions of a Wayward Daydoodler (Wave One),Public Art,Jun 4 2013,Jun 14 2013,10,"Woods Hole, MA",$.,2200,20,4
1319,Metamorphosis into Mermaid,Art,Nov 2 2012,Dec 2 2012,30,"Boston, MA",$,1231,1000,25
1320,The Moonshiner,Art,Dec 8 2012,Jan 7 2013,30,"New York, NY",$,3250,3000,63
1321,Miska: An Iconic Painter,Painting,Nov 30 2012,Jan 6 2013,37,"Seattle, WA",$,5318,5000,67
1322,Lompoc Oral History Project,Public Art,Nov 14 2012,Dec 12 2012,27,"Lompoc, CA",$,5000,4950,66
1323,FLAG ACQUISITION: The London Project,Art,Nov 6 2012,Nov 13 2012,7,"London, UK",$,1361,1300,36
1324,%*&^! - Illustrative History in Profanity - KICKSTARTED!,Illustration,Jan 14 2013,Feb 8 2013,24,"Toronto, Canada",$,11202,9500,136
1325,An Imaginary Map of Reading,Conceptual Art,Jan 10 2013,Jan 25 2013,15,"Chicago, IL",$,185,150,8
1326,Art House: An Art Installation for the Community,Public Art,Feb 23 2013,Apr 1 2013,36,"Evanston, IL",$,980,600,23
1327,The Motorcycle Painter 2,Painting,Feb 22 2013,Apr 23 2013,60,"Mankato, MN",$,4174,3500,72
1328,Celebrating Ali,Digital Art,Mar 17 2013,Apr 16 2013,30,"New York, NY",$,930,900,10
1329,In Retrospect Book Trailer,Conceptual Art,Mar 12 2013,Apr 12 2013,30,"Salem, NY",$,3025,3000,25
1330,Help me go to Pancakes and Booze art show!,Painting,Feb 27 2013,Apr 13 2013,45,"Seattle, WA",$,385,105,8
1331,MY JUNE ART SHOW,Art,Feb 21 2013,Mar 23 2013,30,"West Chester, PA",$,936,500,16
1332,"Catch a ride on the ""LEGO Truck"" art car at Burning Man!!!",Art,Jul 17 2012,Aug 16 2012,30,"Seattle, WA",$,3377,3375,72
1333,Summer Forum for Inquiry + Exchange,Art,Mar 1 2012,Apr 2 2012,32,"New Harmony, IN",$,9741,9000,143
1334,WASTEdar,Art,Apr 27 2012,Jun 26 2012,60,"Dar es Salaam, Tanzania",$,1221,1000,13
1335,"""Shhh"" - a series of paintings showing women loving women",Painting,Feb 13 2012,Mar 14 2012,30,"Washington, DC",$,2080,2000,52
1336,The Way I See It: SOLO SHOW,Painting,Feb 14 2012,Mar 14 2012,28,"Portland, OR",$,1273,1000,42
1337,Altar to Our Lady of the Shining Silver Sun,Digital Art,Mar 11 2012,Apr 8 2012,28,"San Salvador, El Salvador",$,3855,3600,63
1338,Aimari & Alex Young @ The Carrack Modern Art,Art,Feb 11 2012,Mar 12 2012,30,"Durham, NC",$,871,600,24
1339,Postcards from Jerusalem,Art,Feb 27 2012,Mar 27 2012,29,"Jerusalem, Israel",$,1073,647,42
1340,Women's Day International,Public Art,Feb 10 2012,Mar 11 2012,30,"Quito, Ecuador",$,1567,850,36
1341,Altered States Project,Performance Art,Mar 1 2012,Mar 31 2012,30,"Boise, ID",$,1601,1500,31
1342,PUBLIC PATRON PAINTING PARTY PROJECT,Art,Jul 23 2012,Aug 5 2012,12,"Ellensburg, WA",$,2690,2300,53
1343,Sierra Art Trails - Sorensen Sculpture Project - Oakhurst CA,Public Art,Sep 3 2012,Oct 7 2012,33,"Oakhurst, CA",$,5710,5000,41
1344,Whimsical Charcoal Drawings Going in a Gallery Show,Illustration,Oct 12 2012,Nov 2 2012,21,"Newport, NH",$,4100,4000,36
1345,Petaluma Bomb Squad Fundraiser - Support Our Graffiti Kids!,Public Art,Oct 20 2012,Nov 19 2012,30,"Petaluma, CA",$,1331,1200,32
1346,The Exquisite Corpse Festival becomes LIVE!,Performance Art,Aug 18 2011,Sep 30 2011,43,"New York, NY",$,3058,3000,35
1347,A Mix Tape For Ophelia,Performance Art,Jun 24 2011,Aug 12 2011,48,"San Francisco, CA",$,3305,2500,60
1348,FORAGE - Artprize 2011,Public Art,Jul 18 2011,Aug 17 2011,30,"Grand Rapids, MI",$,301,300,6
1349,3D Painted Abstraction,Digital Art,Jan 12 2012,Feb 11 2012,30,"East Village, Manhattan, NY",$,1553,1500,20
1350,Eight Extraordinary Greens,Art,Feb 29 2012,Apr 1 2012,32,"New York, NY",$,3446,3000,111
1351,HUNG JURY: Curating a Show of 12 Men,Art,Jan 23 2012,Feb 9 2012,16,"Boston, MA",$,3137,3000,90
1352,"""Living Color - A Meditation in Three Parts"" - an exhibition",Mixed Media,Jan 18 2012,Feb 17 2012,30,"Atlanta, GA",$,3673,3300,37
1353,CORE: Grow Fourth,Art,May 8 2012,Jun 16 2012,38,"Portland, OR",$,2145,1800,17
1354,"Love, Inertia, and the Pursuit of the Perfect Stance",Sculpture,Nov 29 2012,Dec 29 2012,30,"Oakland, CA",$,16430,15000,136
1355,Upstairs at 83 Hester,Art,Jul 23 2012,Aug 22 2012,30,"Lower East Side, Manhattan, NY",$,6498,5550,53
1356,The Willow Tree,Public Art,May 17 2012,May 27 2012,10,"Denver, CO",$,804,800,44
1357,Square Dance: A Community Project,Public Art,Oct 12 2011,Nov 11 2011,30,"Dallas, TX",$,1235,750,23
1358,Le Bon Temps Roule! -- New Orleans Bar at Burning Man,Conceptual Art,Jul 22 2011,Aug 16 2011,25,"Los Angeles, CA",$,1240,900,38
1359,The Temple of Transition-Burning Man 2011,Public Art,Jul 21 2011,Aug 5 2011,14,"Reno, NV",$,18574,17000,420
1360,playing ALI,Performance Art,Jan 2 2012,Feb 29 2012,58,"Louisville, KY",$,9020,9000,82
